satellite, Count: 887, Level 1
earth science > biosphere > ecological dynamics > ecosystem functions > biomass dynamics, Count: 1, Level 5

earth science > biosphere > ecological dynamics > ecosystem functions > food-web dynamics, Count: 6, Level 5

earth science > biological classification > animals/vertebrates > fish, Count: 6, Level 4

earth science > atmosphere > precipitation, Count: 2, Level 3

earth science > atmosphere > atmospheric winds > surface winds > wind direction tendency, Count: 1, Level 5

earth science > spectral/engineering > sensor characteristics > geolocation, Count: 4, Level 4

earth science services > data analysis and visualization > geographic information systems, Count: 4, Level 3

earth science > atmosphere > atmospheric winds > surface winds > wind speed tendency, Count: 1, Level 5

earth science > biosphere > vegetation > plant phenology, Count: 1, Level 4

earth science > atmosphere > clouds > cloud microphysics > droplet growth > aggregation, Count: 2, Level 6

earth science > atmosphere > precipitation > solid precipitation > hail, Count: 7, Level 5

earth science > atmosphere > atmospheric water vapor > water vapor indicators > total precipitable water, Count: 3, Level 5

nasa larc satcorps, Count: 2, Level 1

earth science > atmosphere > atmospheric chemistry > carbon and hydrocarbon compounds > carbon monoxide, Count: 2, Level 5

earth science > biosphere > vegetation > photosynthetically active radiation, Count: 6, Level 4

earth science > biosphere > ecological dynamics > ecosystem functions > primary production, Count: 1, Level 5

earth science > atmosphere > atmospheric winds > wind profiles > velocity azimuth display vertical wind profiles, Count: 5, Level 5

earth science > spectral/engineering > radar > sensor counts, Count: 2, Level 4

earth science > spectral/engineering > sensor characteristics > phase and amplitude, Count: 2, Level 4

earth science > oceans > sea surface topography > sea surface height, Count: 1, Level 4

ncar aircraft, Count: 2, Level 1

earth science > spectral/engineering > lidar > lidar backscatter, Count: 7, Level 4

earth science > atmosphere > weather events > tropical cyclones, Count: 1, Level 4

earth science services > models > carbon cycle/carbon budget models, Count: 1, Level 3

earth science > atmosphere > atmospheric chemistry > carbon and hydrocarbon compounds > carbon dioxide, Count: 12, Level 5

earth science > spectral/engineering > infrared wavelengths > infrared radiance, Count: 4, Level 4

earth science > spectral/engineering > platform characteristics > flight data logs, Count: 4, Level 4

earth science services > environmental advisories > weather/climate advisories > present weather, Count: 4, Level 4

earth science > atmosphere > weather events > hail storms, Count: 2, Level 4

earth science > biosphere > vegetation > vegetation species, Count: 2, Level 4

earth science > biological classification > fungi > lichens, Count: 1, Level 4

marine mammal watch, Count: 6, Level 1

marine mammal survey, Count: 13, Level 1

active layer/permafrost, Count: 10, Level 1

marine mammal acoustics, Count: 7, Level 1

nasa aircraft, Count: 2, Level 1

earth science > atmosphere > atmospheric winds > wind profiles, Count: 1, Level 4

earth science services > models > weather research/forecast models, Count: 7, Level 3

earth science > atmosphere > precipitation > precipitation amount > 3 and 6 hour precipitation amount, Count: 1, Level 5

earth science > land surface > soils > carbon, Count: 2, Level 4

earth science > land surface > soils > soil bulk density, Count: 1, Level 4

earth science > atmosphere > precipitation > liquid precipitation > liquid surface precipitation rate, Count: 2, Level 5

earth science > atmosphere > clouds > cloud radiative transfer > scattering, Count: 4, Level 5

earth science > atmosphere > atmospheric water vapor > water vapor profiles > water vapor concentration profiles, Count: 4, Level 5

earth science > atmosphere > clouds > cloud radiative transfer > absorption, Count: 4, Level 5

earth science > atmosphere > atmospheric water vapor, Count: 4, Level 3

earth science > spectral/engineering > lidar, Count: 4, Level 3

earth science > atmosphere > atmospheric water vapor > water vapor indicators > water vapor, Count: 11, Level 5

earth science > atmosphere > atmospheric water vapor > water vapor indicators > humidity, Count: 4, Level 5

earth science > atmosphere > atmospheric water vapor > water vapor indicators > humidity > absolute humidity, Count: 12, Level 6

earth science > land surface > soils > thermal conductivity, Count: 3, Level 4

earth science > atmosphere > atmospheric radiation > heat flux, Count: 10, Level 4

earth science > biosphere > vegetation > leaf characteristics, Count: 3, Level 4

dem, Count: 4, Level 1

earth science > biological classification > animals/vertebrates > birds, Count: 3, Level 4

earth science > spectral/engineering > visible wavelengths > visible radiance, Count: 3, Level 4

earth science > atmosphere > atmospheric winds > wind dynamics > turbulence, Count: 12, Level 5

earth science > atmosphere > aerosols > particulate matter > particulate matter (pm 2.5), Count: 2, Level 5

earth science > atmosphere > air quality > particulate matter (pm 10), Count: 2, Level 4

earth science > atmosphere > aerosols > particulate matter > particulate matter (pm 1.0), Count: 2, Level 5

earth science > atmosphere > air quality > particulate matter (pm 1.0), Count: 2, Level 4

earth science > atmosphere > aerosols > particulate matter > particulate matter (pm 10), Count: 2, Level 5

earth science > atmosphere > air quality > particulate matter (pm 2.5), Count: 2, Level 4

earth science > atmosphere > atmospheric chemistry > oxygen compounds > molecular oxygen, Count: 3, Level 5

earth science > atmosphere > atmospheric chemistry > carbon and hydrocarbon compounds > atmospheric carbon dioxide, Count: 4, Level 5

earth science > atmosphere > atmospheric temperature > surface temperature > deiced temperature, Count: 5, Level 5

earth science > biosphere > ecological dynamics > ecosystem functions > photosynthesis, Count: 4, Level 5

earth science > biosphere > ecological dynamics > ecosystem functions > respiration rate, Count: 4, Level 5

earth science > land surface > soils > soil respiration, Count: 1, Level 4

earth science > agriculture > soils > carbon, Count: 1, Level 4

earth science > biological classification > animals/invertebrates > arthropods > crustaceans > copepods, Count: 1, Level 6

earth science > oceans > sea ice > sea ice age, Count: 2, Level 4

earth science > oceans > sea ice > ice extent, Count: 1, Level 4

earth science > oceans > sea ice > sea ice concentration, Count: 4, Level 4

earth science > oceans > sea ice > ice types, Count: 2, Level 4

earth science > cryosphere > snow/ice > albedo, Count: 1, Level 4

earth science > spectral/engineering > infrared wavelengths > thermal infrared, Count: 3, Level 4

earth science > spectral/engineering > infrared wavelengths > brightness temperature, Count: 5, Level 4

earth science > climate indicators > cryospheric indicators > ice extent, Count: 1, Level 4

earth science > biosphere > ecological dynamics > species/population interactions > population dynamics, Count: 1, Level 5

earth science > climate indicators > biospheric indicators > breeding productivity, Count: 1, Level 4

earth science > cryosphere > sea ice > ice temperature, Count: 1, Level 4

earth science > atmosphere > atmospheric pressure > planetary/rossby waves, Count: 1, Level 4

earth science > climate indicators > atmospheric/ocean indicators > teleconnections > madden-julian oscillation > mjo, Count: 1, Level 6

earth science > atmosphere > clouds > cloud microphysics > cloud optical depth/thickness, Count: 1, Level 5

earth science > atmosphere > clouds > cloud radiative transfer > cloud emissivity, Count: 1, Level 5

earth science > atmosphere > clouds > cloud radiative transfer > cloud radiative forcing, Count: 1, Level 5

earth science > atmosphere > clouds > cloud properties > cloud top pressure, Count: 1, Level 5

earth science > atmosphere > clouds > cloud radiative transfer > cloud reflectance, Count: 1, Level 5

earth science > atmosphere > clouds > cloud properties > cloud top temperature, Count: 1, Level 5

earth science > atmosphere > atmospheric temperature > surface temperature > skin temperature, Count: 5, Level 5

earth science > land surface > surface thermal properties > skin temperature, Count: 4, Level 4

earth science > human dimensions > human settlements > coastal areas, Count: 1, Level 4

earth science > spectral/engineering > infrared wavelengths > infrared imagery, Count: 3, Level 4

earth science > spectral/engineering > visible wavelengths > visible imagery, Count: 2, Level 4

earth science > biosphere > ecosystems > terrestrial ecosystems > alpine/tundra > arctic tundra, Count: 5, Level 6

earth science > atmosphere > atmospheric temperature > upper air temperature, Count: 6, Level 4

earth science > human dimensions > boundaries, Count: 1, Level 3

earth science > atmosphere > precipitation > precipitation rate > frozen precipitation, Count: 2, Level 5

earth science > atmosphere > weather events > extratropical cyclones, Count: 2, Level 4

earth science > atmosphere > precipitation > liquid precipitation > drizzle > freezing drizzle, Count: 2, Level 6

earth science > atmosphere > precipitation > liquid precipitation > drizzle, Count: 3, Level 5

earth science > atmosphere > precipitation > liquid precipitation > rain > freezing rain, Count: 2, Level 6

earth science > atmosphere > weather events > ice storms, Count: 2, Level 4

earth science > atmosphere > precipitation > solid precipitation, Count: 2, Level 4

earth science > atmosphere > atmospheric winds > wind dynamics > wind stress, Count: 1, Level 5

